id,text,sentiment
582,'Dope Card,gonna link him with Tonali nd kessie. ',positive
583,Non rare? Really EA?,neutral
584,him or meunier for rb,neutral
585,Op CB for the beginning,positive
586,put Hunter on him and still unusuable..,negative
587,People saying he\'s had a bad season? Hasn\'t been good for over 2 years. Deserved downgrade.,negative
588,67 pace?,neutral
589,56 Dribbling?,neutral
590,'So much potential in front,this guys is the next chiellini',positive
591,tbf I haven\'t seen a more usable 76 non rare in a while,positive
592,'I think ea are giving everyone but cover stars and liverpool players a -1. If you add +1 to anyone\'s ratings it makes more sense. Example: Werner 86,lewa 92,kdb 92,Ramos 90,alaba 85,Kroos 89,gnabry 86,Imobile 88,aubameyang 88,neuer 90,etc.',neutral
593,Why the downgrade?,negative
594,decent card,positive
595,First like :D,neutral
596,Max of 4 special cards or 1 IF for scoring a great goal and he is gullit gang (hopefully it means something this year),positive
597,I don\'t understand this downgrade tbh,negative
598,DOWNGRADE,negative
599,What are this stats? WTF?,neutral
600,The goat is back,positive
601,Wait an 84 rated non-rare?,neutral
602,New icon Card actually looks quite nice,positive
603,Thatâ€™s a 200k+ right there,neutral
604,underrated,positive
605,Welcome back Legend!!,positive
606,'Well at least its fair,Rom didnt get a upgrade either^^. His Stats are great tho,dont fixate so much on the Rating itself',positive
607,'Well at least its fair,Rom didnt get a upgrade either^^.',positive
608,84 it s bad,negative
609,He should get a downgrade,negative
610,First ever 84 rated non-rare!,neutral
611,Welcome to Besiktas!,neutral
612,Nice Starter,positive
613,Welcome to Bayern,neutral
614,Loved his cards through the years looks like he will be good for the 1st few months at least,positive
615,Gg,positive
616,Err what?,neutral
617,'i can\'t believe,,,again non rare',neutral
618,Should have been 85 at least,negative
619,He will be so expensive in the first weeks,neutral
620,Welcome to Monaco!!,neutral
621,Whyâ€™s he non rare?,neutral
622,rip fifa 16 Bruno owners,neutral
623,Oh this ***y goddess is back.. yes ik that was sus,positive
624,Bruno is that you?,neutral
625,Cant wait for his flashback card!,neutral
626,Underrated.,positive
627,FIFA 20 dead,neutral
628,at least an 86 looking at those stats and other 86 rated players,positive
629,Iâ€™m fully convinced now that EA donâ€™t watch football,neutral
630,Cut in to the left and fitness shot with left foot= GOALLEGEND is back,positive
631,0 composure noice,neutral
632,'Same as in fifa20,good starter CB for Ligue a nd French Teams.',positive
633,'If he has 4* Weakfoot,this card will be very insane like FIFA 18 ',positive
634,44 shooting and 5* weak foot? This means he will at least shoot as equally bad with both feet!,negative
635,should be a non-rare Right Back...,negative
636,5* WF in FIFA 10 lol,neutral
637,I hate ea. I think he played well at right back. But ea just f u c k it up,negative
638,Downgrade after future stars? EA don\'t watch football,negative
639,'How tf did he get a downgrade,It makes no f sense',negative
640,Can\'t wait for a flashback card,neutral
641,Incoming Fut Birthday card with boosted Pace and 5* weak foot.,positive
642,'Wtf,I thought he was like 18... he\'s 25????',neutral
643,extending this dude but letting Thiago go...,neutral
644,I don\'t understand this downgrade,negative
645,He plays as right back,neutral
646,'79 ? what a joke,and he should be CDM  ',negative
647,This guy will be in everyone\'s starter squad,positive
648,still looks good for starter teams,positive
649,Solid for a startet team,positive
650,Look how they massacred my boy...,negative
651,better than,positive
652,Minus 3 is just incredibly harsh,negative
653,king is back,positive
654,Downgrade?,negative
655,new meta,positive
656,'My hero. One of the greatest goalkeeper of the modern era,who only improved with age. I miss the United/Chelsea battles of 2009/2010/2011. Good times,so many wonderful players',positive
657,Faster than gnabry wtf,positive
658,Gonna be a beast for starter squads,positive
659,'once klopp leaves liverpool,everyone is going to see how absolute dog sh*t him and Trent are. So overrated ',negative
660,Lewandowski is the most overrated player of all time,negative
661,look how they massacred my boy,negative
662,Best looking 83 card Iâ€™ve ever seen,positive
663,sm 4 wf 5 new ffs meta...,positive
664,'42 PHY... even if he got some informs,will have **** stamina,so probably unusable (sorry for bad english)',negative
665,'He needed upgrade ea,he played class',positive
666,deserves much more,negative
667,underrated irl,positive
668,'stupid to be downgraded,man was decent last season',negative
669,'79 would be hard,but deserved',positive
670,The greatest footballer of all time.,positive
671,Phil Jones is still untouchable,positive
672,Literally no one cares about this guy.,negative
673,'Not giving him at least an 85,after the season he had,in my eyes,is just plain disrespectful.',positive
674,So happy he is back :),positive
675,Goat,positive
676,ridiculous!,negative
677,You know it\'s bad when Serge Aurier getting an upgrade isn\'t even close to being the worst rating choice EA have made for FIFA 21,negative
678,Beast from Icon Swaps last year... hope heÂ´ll be that good again,positive
679,This man won the football writers player of the year award and came second in the PFA POTY award behind only KDB. Actually crazy that people think an 86 is too high for him. Fair enough if people think Thiago deserves higher than 85 I agree but donâ€™t take it out on Henderson. Such a bandwagon against Henderson itâ€™s ridiculous.,negative
680,So ***y definitely going Iâ€™m started team,positive
681,This stats an absolute joke,negative
682,So much better than immobile.,positive
683,'Yess,gonna be decent,since hes finally a CM',positive
684,They make AgÃ¼ero bad because of his pace stat,negative
685,Disrespect :\\,negative
686,why non rare and whats with all these pace downgrades,negative
687,'Still a good card,its just the overall Rating but that doesnt mean much tbh. Give him a Special Card and fine,you even can play him as a starter for serie a Team,along side Players like Rebic.',positive
688,'Cheap bundesliga version of TAA,both are better as cm ig imo,very well rounded cards',positive
689,What a card,positive
690,'I think a small pace downgrade is deserved. Don\'t get me wrong,he\'s very fast but not like 90+ pace. I would give him something like 91 acceleration and 87 sprint speed. So maybe 88-89 pace but never ever 82. Plus I think his overall should be 86.',negative
691,less shooting than sterling,negative
692,He CAN be the most op cm sorry...,positive
693,Set your mind free it\'s the year of Sommer!,positive
694,'Fernandinho was my cdm the whole year,he\'s such a beast. shame that he got a downgrade and position change',negative
695,Deserves more AF,negative
696,EA is hating chelsea players WTF,negative
697,The best,positive
698,'85 rating is good,since he\'s going to be a OTW and he\'s going to get a lot of upgrades and special cards. 85 makes his otw actually affordable ',positive
699,83? should be 99,negative
700,Disrespect. He really deserved his 86. **** EA.,negative
701,hes better playing as a CAM,positive
702,Nice pace upgrade looks playable,positive
703,'Yo wtf,this dude deserves at least 86/87. ',negative
704,Probably the best performing CB in the league,positive
705,PSG wins domestic quadruple and makes it to their first ever CL final... everyones downgraded....? just...,negative
706,'Give him a hunter chemistry style and that\'s it. I don\'t understand this rating either,but I would just deal with it the best way possible. His Shooting is good,he can take a hunter pace boost and everything\'s fine. With a hunter he has 95 positioning,90 finishing,99 acceleration and 86 sprint speed,that equals 93 pace',positive
707,'I think its a fair card. He\'s pace could be higher,maybe like 88 acceleration with 85 sprint speed. So maybe like 87 pace. The other stats are fine,of course 74 shooting or 81 passing seems not high enough but if you check his ingame stats its fair. 87 vision,88 short passing,83 positioning etc. ',positive
708,'Drgreenthumbb,It could be great with Joe Gomez or s/one higher than Thiago Silva cause this year probably will be back the aerial game',positive
709,goat,positive
710,Amazing stats,positive
711,better finisher than douglas costa,positive
712,'Should have more pace. And no I\'m not talking about that Dembele thing,cuz dembele was back from an injury. This guy can actually run really fast,but doesn\'t always necessarily need it!',negative
713,Get in to my starter team u BEAST AMERICAN,positive
714,done him dirty,negative
715,'This is an actual joke EA. Best player in the championship last year,just made his England Debut. EA\'s having a laugh',negative
716,this guy will continue to annoying us in fut 21,positive
717,Nice card probably going in to my team if not too expansive,positive
718,The disrespect...,negative
719,Yay I was gonna use him but he isnâ€™t gonna have good enough composure or reactions,negative
720,'man,i feel bad for him,he won cl,world cup just to get absolute ****ty card in fifa... but i still love him in real life :))',negative
721,perfect for my 3-5-2,positive
722,card look like a OP 83 rated card and never like a 87,positive
723,'had a breakout season and gets this,bruh',negative
724,should be at least 80 rated,negative
725,'I genuinely dont get it how u can be this wrong with a rating. It obvius that he was our best defender last season and one of the best in europe. 84 Rating is not even close,even an 86 would ve been horribly wrong but this ****....this **** doenst make sense',negative
726,i remember him in my fut 20 starter squad he did good,positive
727,great card,positive
728,'Milan fan here,but he should be at least 82',negative
729,Should be higher rated imo :),negative
730,His moments last year was insane!,positive
731,insanely talented just needs to work on his shooting,positive
732,Underrated ingame,positive
733,the one and only bayern player EA not ruined,positive
734,looks unusable unfortunately,negative
735,great player,positive
736,Slow,negative
737,ffs I was planning on using this guy in my starter team,positive
738,This card is 5 ratings lower than what it should be.,negative
739,Bruh EA killed pace this year,negative
740,underrated player,positive
741,His heading accuracy must be 99 ...,negative
742,Unusable,negative
743,Good attacker,positive
744,deserved 86,negative
745,'People always says he deserve rating like this,well there you go. The problem ain\'t the rating,it is about the stats,and to a lot of cards it is the same. This card is pointless.',negative
746,they transferred witsel\'s pace to brandt\'s defending,negative
747,'Slaughtered his pace,now only good for fodder ngl',negative
748,The disrespect from EA...,negative
749,i don\'t know how he only has 67 pace,negative
750,I think he should be at least 77,negative
751,no upgrade? WOW,negative
752,49 Sliding Tackle kills the card,negative
753,this is a disgrace,negative
754,'Absolute baller,deserves much more pace',negative
755,No way in hell he is faster than Gnabry and Sancho,negative
756,he deserves 89 rate and 90 on shooting,negative
757,THIS CANNOT BE REAL... HOW TF IS UPA STILL 79?!?!?!,negative
758,'Faster than Gnabry,Sancho... nvm ea',negative
759,Deserved downgrade!,negative
760,This is such a joke? he should literally be playing sunday league football. And he is also higher than thiago. Only liverpool bandwagons respect this card.,negative
761,no reason for this upgrade.,negative
762,EA gave this guy a 93 overall card last year has he carried Leipzig... 79 seems deserving,negative
763,derserved card but wtf ea how does he go from 60 pace to faster than gnabry and sancho,negative
764,'His rating should be higher in my opinion,but EA likes to do Bayern players dirty.',negative
765,'He deserved 83,but even 81 would be decent. Come on EA!',negative
766,Deserved rating but unfair stats upgrade. Needs around 90 pace,negative
767,only 79?,negative
768,Too high,negative
769,Overrated.,negative
770,BIG flop,negative
771,still unusable rip,negative
772,hes unusable ngl,negative
773,undeserved,negative
774,unusable,negative
775,Worst player of Juve this seasonAbsolutelyÂ clown!,negative
776,overrated,negative
777,robbed!!!!!! should be gold,negative
778,I mean this is just disrespectful,negative
779,worst version of adam traore,negative
780,height undeserved,negative
781,overrated,negative
782,Why so low rated?,negative
783,Well he sucks.,negative
784,'Overrated,only had 1 good season (his CL run)',negative
785,Deserved a downgrade ffs,negative
786,absolutely disgraceful. Should\'ve been upgraded he was Newcastle\'s top scorer in all comps and he wasn\'t even playing his proper position.,negative
787,unusable,negative
788,slap a shadow and you can discard him faster,negative
789,Slower then my Gym Coaches Nan,negative
790,when the hell did douglas costa get that finishing upgrade ?,negative
791,Downgrade? Absolute joke,negative
792,deserved 93 or more,negative
793,'Overrated,witsel is better and has only 84 wtf',negative
794,overrated,negative
795,'85 rating is good,since he\'s going to be a OTW and he\'s going to get a lot of upgrades and special cards. 85 makes his otw actually affordable',positive
796,Amazing stats,positive
797,'This guy was AMAZING on Fifa 20 career mode,hope he is just as good this year. Might try him on FUT too now.',positive
798,The Goat,positive
799,great player for the firts mounth of the game,positive
800,ok,positive
801,Man U legend,positive
802,Finally!,positive
803,Best player ever,positive
804,'Hottest fotballer alive,no cap!',positive
805,perfect Cam,positive
806,Nice upgrade,positive
807,Looks so good!,positive
808,Legend forever,positive
809,What a beast at Cdm even CB,positive
810,Amazing card,positive
811,There is only one king,positive
812,The king is back!,positive
813,goat,positive
814,Beautiful CDM for the first months.,positive
815,one of the best of all time,positive
816,Liverpool legend,positive
817,good for a starter team,positive
818,'Im gonna use him next to Iniesta,legends unite again...',positive
819,I would use this in my fifa 20 squad right now,positive
820,Real madrid LEGEND,positive
821,The goat,positive
822,'Man,i want a serie a team. And i want him',positive
823,nice card,positive
824,THIS CARD LOOKS INSANE,positive
825,Legend!!,positive
826,the king is back!,positive
827,great!!!!,positive
828,get in my team,positive
829,wow,positive
830,great cdm,positive
831,nice wig,positive
832,He\'s the goat.,positive
833,Sevilla legend!,positive
834,looks good,positive
835,Nice goal in the MLS is back Tournament!,positive
836,So well rounded,positive
837,GOAT,positive
838,damn looks insane actually,positive
839,my legend!,positive
840,'This man is one of the greatest CB\'s of all time... one of only 3 players to win PL player of the season twice (Henry and  being the others). Lukaku must be right,they are surely trying to generate attention,by outraging fans,with bad ratings. Either that or this is just more of what EA have done to United,Bayern and Arsenal this year. Tanking their player ratings,because they signed with PES. They really must have really ****ed off some people at EA,but surely an icon like Vidic get,who doesn\'t even play for United anymore,wouldn\'t be affected by that,would he?',positive
841,'Absolute legend. Remember guys if you\'re getting FIFA 21,play to have fun with players you admire. Let\'s bring the \'friendly fun\' back to the game.',positive
842,Damn the king is here,positive
843,BEAST,positive
844,good for my starter.... oh wait :))),positive
845,Greatest LB in the Premier League in his time. 89 Prime Icon?! EA just love French players,positive
846,Nonrare legend,positive
847,'What a legend,I honestly can\'t wait to see him in the league next season,and he\'ll spice up the Spurs do***entary even more!',positive
848,welcome to my concept dream squad,positive
849,Legend,positive
850,i want him in icon swaps,positive
851,legend,positive
852,Pretty nice card ngl,positive
853,Kudus in Indonesian mean Holy. So this is holy card.,positive
854,Great first day card!,positive
855,wow,positive
856,yes,positive
857,cool,positive
858,The greatest 10 in Premier league history.,positive
859,The return of the BEAST,positive
860,The king has returned.,positive
861,will be a beast in the future,positive
862,GOD!!!,positive
863,legendary hair,positive
864,Legend,positive
865,o god,positive
866,Great starter,positive
867,GOAT,positive
868,Better than Pogba atm,positive
869,Hello legend,positive
870,4* SKILLS IM SO HAPPY,positive
871,The King has returned to take back his throne.,positive
872,I like what I see,positive
873,holy moly what a card,positive
874,THE GOD,positive
875,FIFA 14 LEGEND,positive
876,hes going in my starter squad,positive
877,BABY GULLIT gang!!!,positive
878,Best Uruguayan player in laliga.,positive
879,The best scottish LB from the prem,positive
880,Starter squad beast,positive
881,great link to salvio,positive
882,Nice link with Maregod,positive
883,good starter for the linkt with malen,positive
884,Cant wait to el-tornado cross with him,positive
885,Swansea legend!,positive
886,Finally the stamina he deserves,positive
887,nice starter card tbf,positive
888,Yes yes yes yes yes!!!!,positive
889,Come and link next to your brother Militao <3,positive
890,Looks fine,positive
891,Nice,positive
892,Looks like a beast 88 finishing!,positive
893,Nice link to Nacho,positive
894,Starter team for sure.,positive
895,He is back <3,positive
896,Top player,positive
897,'The Notorious One,The Champ Champ.',positive
898,LINK TO MACKAY THE GOAT,positive
899,He can be beast,positive
900,will be beast in a starting squad,positive
901,Best Super League GK,positive
902,Best LB,positive
903,What a card!,positive
904,My hero<3,positive
905,Best pl cb in the history change my mindWelcome ma boyy <3,positive
906,Magician <3,positive
907,76. he\'s a beast,positive
908,The Beast,positive
909,Best player in Inter Miami HiguaÃ­n sucks donkey balls,positive
910,Legend,positive
911,First of many,positive
912,can already see him popping out of my rare mega packs,neutral
913,Can somebody tell me how to reply to comments?,neutral
914,him or vardy?,neutral
915,50 million down the drain...,neutral
916,'Bro I\'m telling you,Eredivisie is the move!',positive
917,he has 76 pace,neutral
918,I feel sarri for Liverpool,neutral
919,how much will he be?,neutral
920,Mallorca days,neutral
921,cr8,neutral
922,-3? Ea r u mad?,negative
923,price prediction??,neutral
924,This guy is the Algerian Mahrez.,neutral
925,The only thing in the world that is recommended by 10 dentists out of 10,positive
926,I can only find him under roman?!,neutral
927,IÃ¢â‚¬â„¢m a really fan of Arjen Robben. I made a story of Arjen Robben. Its Dutch but is a really nice video! Yt: Rickergie,neutral
928,50 goals in 5 years,neutral
929,79 finishing? 80 long shots?,neutral
930,English Football Fans = big Clowns,neutral
931,Price prediction?,neutral
932,Loftus ass footballer,neutral
933,Same rating as Fred yeah okay,neutral
934,Him and Everton 451,neutral
935,91 CB with Anchor..,neutral
936,As the legend kimi raikkonen would say: FOR WHAT,neutral
937,Lmao ea is a joke,negative
938,trippleFckuea,negative
939,No Thomas no Partey,neutral
940,where are the GK stats?,neutral
941,Can they add the full database,neutral
942,Volleys lol,neutral
943,MIDDLE MAMMUUUT,neutral
944,imagine his flashback card,neutral
945,Scream team predictions,neutral
946,'28M market value and a 78 Rating,how?',neutral
947,250-275k,neutral
948,How much will he cost?,neutral
949,who are you and what have you done to the BrazilianElkeson,neutral
950,Price,neutral
951,when she asks you what you wanna see,neutral
952,His name is Ciro,neutral
953,Player with most shot power. Cant wait to use my bootleg Roberto Carlos,positive
954,My man,positive
955,'Honestly,this man was amazing! One of my heroes',positive
956,he actually  seems playable,positive
957,'the legend,the myth himself',positive
958,Nice card,positive
959,'completely deserved,even 83/84',positive
960,Machine,positive
961,actually it\'s a decent card,positive
962,HeÃ¢â‚¬â„¢s rapid,positive
963,This guy never had a Red Card. One reason more to love him,positive
964,My love of Fifa 20. Impressive card for the first few months,positive
965,MAICON I LOVE YOUR SEXY BALD HEAD YOU BEAST,positive
966,been in my starter team since fifa 17 love him,positive
967,YOU NEVER DISAPPOINT DE PAULA I LOVE YOU,positive
968,I love this guy he shaved all the mothers in Fut Champions,positive
969,I love this guy he shaved all the mothers in Fut Champions and that was the best striker in Fifa 20 #99iconmoments,positive
970,'I love this guy,my grandpa used to play with him',positive
971,I LOVE YPU SO MUCHHH,positive
972,love to see hes the only one in my dream squad that has no stats...,positive
973,'My grabdfather met this beast,im proud',positive
974,Cheap beast,positive
975,Beasttt,positive
976,He looks like a beast again.,positive
977,'This guy will be my CAM in FIFA 21,such a well rounded beast.',positive
978,the king of 81,positive
979,imbula is the best player,positive
980,the beast makes it 2-1!!!,positive
981,beast probably would be good with a sniper,positive
982,career mode beast,positive
983,can\'t wait to get this beast in fifa 21,positive
984,We need icon sbcs like fifa 19 so I can use this beast again,positive
985,This guy is such a BEAST he feels faster than adama Traore in game and his foot is like Fucking aimbot,positive
986,fifa 18 beast,positive
987,like king cantona is the goat,positive
988,looks like a good attacking CM,positive
989,THE EGYPTIAN KING,positive
990,The king!!!,positive
991,King Kenny,positive
992,King Cantona The king of kings,positive
993,'goodbye my king,you will always have a place in my heart',positive
994,The fucking king,positive
995,'Yasssss the King is back at Inter. His defense,physis and passing oh my good,so dope,and the even has decent shooting,dribble and allright pace. Def gonna be in my Belgium lads squad.',positive
996,Insane player!! FIFA 20 career mode sick,positive
997,The king is here,positive
998,The King will be back in my Team,positive
999,'Balotelli... AGUEROOOOOOOOOOOO My favourite player of all time <333Hopefully,when he gets back from injury,he will play insane like always.',positive
1000,Insane CB,positive
1001,Totw 1 will be insane,positive
1002,insane performance good job jamie,positive
1003,he was great,positive
1004,Insane,positive
1005,Deadeye and heâ€™s insane,positive
1006,With a catalyst he looks insane,positive
1007,looks insane with hawk,positive
1008,Insane on CM,positive
1009,Insane card,positive
1010,Thats some insane stats for a silver card,positive
1011,this card with deadeye looks seriously insane. with stats like that even the 3* wf won\'t be too bad for the first couple of months before broken cards get released,positive
1012,Legenda!!,positive
1013,GOAT,positive
1014,'the legend,the myth himself',positive
1015,Best of history no debate.,positive
1016,best Irish player ever,positive
1017,'One of the best keepers in the prem,incredibly underrated. There was no reason to downgrade him.',positive
1018,'definitely gonna pick him up this year,used him and he was definitely one of the best players i tried,and if pace really doesnâ€™t matter this year he stands more of a chance',positive
1019,Best of history no debate.,positive
1020,best fifa CM of all time,positive
1021,imbula is the best player,positive
1022,'Oh,oh,oh fernandes BRUNOOO,hes Portuguese he will score goals hes magic BRUNOOOOO,the best midfielder since since paul scholes.',positive
1023,Gonna be the best LB in the league this season,positive
1024,Best Tottenham player,positive
1025,Best left back in the world,positive
1026,Best right back in the game,positive
1027,Roooooooonaldo is the best ever. GOAT,positive
1028,My best player of all time,positive
1029,With shadow... best.,positive
1030,Best European player ever,positive
1031,GOAT,positive
1032,His moments was the best defender in the game,positive
1033,This guys moments was the best centre back in the game,positive
1034,The world best,positive
1035,This guys moments was the best centre back in the game,positive
1036,Best IV in turkey and Croatia,positive
1037,The best Goalkeeper in Fifa and Besiktas,positive
1038,Best defender of all time,positive
1039,Best right back in liga nos,positive
1040,Great card,positive
1041,been in my starter team since fifa 17 love him,positive
1042,Nice card,positive
1043,With iniesta the best 8 ever. (From the Football Iâ€™ve seen),positive
1044,Best Player in sÃ¼per lig,positive
1045,The greatest player of all time,positive
1046,Great player as CAM,positive
1047,greatest gk of all time,positive
1048,Every year one of the best basic cards in the game. Gonna be a great cam,positive
1049,great for a starter squad,positive
1050,This guy is an absolute great player! He can score hole in ones so easily!,positive
1051,he can play anywhere,positive
1052,'Great Season,letâ€™s be honest guys.',positive
1053,'Such a great card. In FUT 20 he was used right up until TOTS. Great agility,balance and finishing. All you need in a striker',positive
1054,Beast,positive
1055,Best prem player ever,positive
1056,Probably the greatest teenage talent ever. He could have been the GOAT without injuries....and he\'s the only player ever to play for both Real Madrid/Barcelona and both Milan/Inter without being called a snake. Respect.,positive
1057,GREAT CDM,positive
1058,great link with Liverpool,positive
1059,great impact last season,positive
1060,Great starter left back,positive
1061,I have high hopes for him. Great player!,positive
1062,Great card,positive
1063,'Incredible cb with anchor,link to gomez',positive
1064,This guy looks incredible with a sniper. Just hope heâ€™s not too expensive...,positive
1065,Incredible with sniper,positive
1066,'Since fifa 15 forever in my team,incredible LW. Love u YALA.',positive
1067,Incredible stats,positive
1068,This guy is absolutely incredible irl,positive
1069,I donâ€™t know why but for me this card Looks incredible,positive
1070,'Fair rating,he was incredible against Besiktas',positive
1071,the incredible,positive
1072,this guy is incredible ingame,positive
1073,'incredible card,feel like he\'s going to be in my team for a long time. reminds me of Kante just taller',positive
1074,'Incredible Card,better than any other in the league right now',positive
1075,'Bought him,heâ€™s so good wow',positive
1076,he\'s so good in game wow,positive
1077,Wow what a monster card this year,positive
1078,Lol I packed him from prime electrum players woowoww and tradable,positive
1079,Wow he is fantastic,positive
1080,'Wow,I used him in game and heâ€™s class',positive
1081,Wow,positive
1082,wow very grate player in game. Trust me,positive
1083,wow,positive
1084,wow,positive
1085,Wow I was not expecting him to be such a beast in game! One of the best cams in game. He feels quick on the ball and the ball stays on his feet. Go with hunter/hawk on him. He will go up for sure just before the first fut champs.,positive
1086,just wow,positive
1087,He\'s crazy in game wow 21 games 41 goals and 14 assists,positive
1088,'Wow what a beast! His passing into the open space and his finesse shots are amazing! I have him at CAM,with Jota and Pepe beside him and Havertz up top.. I think heâ€™ll increase by a decent amount upon his release. The WF sucks obviously but you know this before buying him so just work around it',positive
1089,Wow this card is a beast! Wand of a left boot,positive
1090,WOW this guy is INSANE!! first time that a player make so many goals in my fifa history. 31 match 54 goals!! gonna keep him for long....,positive
1091,defending stats wow better then casemiro,positive
1092,Wow. He is so good!,positive
1093,'Im so hyped to play with his card today,damn!',positive
1094,This guy is insane,positive
1095,He is back <3,positive
1096,My hero<3,positive
1097,Love u,positive
1098,I love you.,positive
1099,my Favoriten icon for icon swaps love  this guy,positive
1100,Love you chris,positive
1101,I love this man,positive
1102,I love you andy,positive
1103,Lovely boy,positive
1104,I love this man,positive
1105,I fell in love with his smile,positive
1106,we love Maxime,positive
1107,Greatest English player,positive
1108,great cb for the first starter team,positive
1109,He Will be great,positive
1110,Great starter cb,positive
1111,great debut!!,positive
1112,Tbf this is a great starter card,positive
1113,Greatest manager of all time no cap,positive
1114,Great player,positive
1115,Looks great for an early cm,positive
1116,slap a hunter on him and heâ€™s a great cam!,positive
1117,Great duo with malong and dickmann,positive
1118,Great starter card,positive
1119,What a Great gk,positive
1120,great CDM!,positive
1121,Great goal,positive
1122,shadow on him and hes a great starter cb,positive
1123,Great player,positive
1124,great link with saka,positive
1125,Great investment,positive
1126,'Great for laliga squads,because he changed to granada',positive
1127,Great CDC,positive
1128,Great card for starter squad,positive
1129,Beast at CAM,positive
1130,He is a beast,positive
1131,He is a beast!,positive
1132,BEAST! Have All traits!,positive
1133,Beast,positive
1134,This guy is a absolute beast for me him and sule are op,positive
1135,BEAST!,positive
1136,Beast CB,positive
1137,What a beast,positive
1138,'196cm with 83 jumping and 89 strength,he is a beast',positive
1139,He is a beast !,positive
1140,Beast,positive
1141,'absolute beast in fifa 20... 1k games 1.1k goals,can\'t wait to try him in fifa 21',positive
1142,Absolute beast,positive
1143,Fucking beast for WL,positive
1144,this guy is incredible ingame,positive
1145,i have used him for 5 games now and he\'s much better than alaba he\'s just incredible,positive
1146,'Incredible Card,better than any other in the league right now',positive
1147,This guy is incredible,positive
1148,'OMFG,hes incredible in game,feels like kante.',positive
1149,Him and haaland incredible attack,positive
1150,Best player i have used. He is so responsive and fast. He will go up in price when people realise how incredible he is.,positive
1151,Mane is incredible,positive
1152,'This card is incredible,extremely quick,agile and has a very clinical finish',positive
1153,'40 gol in 25 games,division 4. INCREDIBLE',positive
1154,'Havenâ€™t tried Ter-Stegen this year,but this guy has been incredible! Always there to save!',positive
1155,this guy is incredible in game,positive
1156,'This guy is so incredible for me. He always get the highest rating and the most successful passes of my team after a match. He can dribble,pass,and defend,it is just really funny to play with him.',positive
1157,'this guy is a goal machine,his timing when to make a run is hilariously good and the positioning is incrediblebetter than  because of his wk foot is too good',positive
1158,Incredible player slap hunter and you have an amazing player,positive
1159,'What a player with finisher. Incredible for the beginning,omg',positive
1160,He is incredible the best rb i have used so far. He allways catches his opponents and you can jockey with him super super good even though the balance and agility are a bit low. He wins 99\% of the tackles he makes easily the best rb on that.,positive
1161,OP like last year incredible player BEAST!!!!,positive
1162,This guy fits the meta so well. Incredible price for how good he is.,positive
1163,What a Beast,positive
1164,He is actually really good,positive
1165,I’m in love,positive
1166,Was a beast last season,positive
1167,Insane Beast,positive
1168,Perfect starter LB.,positive
1169,best gold card in fifa 21,positive
1170,He is phenomenal,positive
1171,'very good on striker,try him out guys',positive
1172,Gooooood guy,positive
1173,'beast with hunter at cam,3 games 4 goals and 3 assists',positive
1174,he is so good,positive
1175,the real goat,positive
1176,beast for WL,positive
1177,engine chem style damn,neutral
1178,When the seagulls follow the trawler,neutral
1179,flop incoming,negative
1180,Puskas award winner 2020,neutral
1181,Most confused player,neutral
1182,still cant believe inzaghi was added to fifa before Puskas,neutral
1183,welcome to olympiacos,neutral
1184,Oi oi lads,neutral
1185,Price prediction ?,neutral
1186,Wait it\'s Fifa 21 already?,neutral
1187,sniper or marksman?,neutral
1188,rip crystal palace fans,neutral
1189,we meet again,neutral
1190,gkj,neutral
1191,price prediction??,neutral
1192,price prediction? 100K? or more,neutral
1193,Hi,neutral
1194,price prediction?,neutral
1195,Price at the start of fifa 21?,neutral
1196,is he good with hunter?,neutral
1197,best position and price prediction?,neutral
1198,Ofickos,neutral
1199,Price prediction?,neutral
1200,price prediction!?,neutral
1201,max 10k am i right?,neutral
1202,what\'s up with the blue hair?,neutral
1203,'osimhen,take me by the hand',positive
1204,j,neutral
1205,Only israel,neutral
1206,price prediction?,neutral
1207,Price predictions?,neutral
1208,girls: Boys donâ€™t know real pain. Also boys:,neutral
1209,chem style for cm?,neutral
1210,Pray 4 LM -> LWB objects,neutral
1211,What is he gonna cost? 5-10k?,neutral
1212,Him + portu,neutral
1213,is better with hunter or sniper?,neutral
1214,honest price prediction guys? I reckon 90-110k for first 3 weeks,neutral
1215,Price predictions,neutral
1216,price prediction??,neutral
1217,Him or Coutinho? Pace & Physical or Dribbling & Skills?,neutral
1218,price prediction?,neutral
1219,just leave the ball to the gk man,neutral
1220,price at the start?,neutral
1221,Myke towers is that you?,neutral
1222,You searched gay,neutral
1223,The Brazilian saint max,neutral
1224,Price predection?,neutral
1225,shhhhh dont tell anyone,neutral
1226,Change his name for the money,neutral
1227,Why no club?,neutral
1228,viva chile ctm,neutral
1229,Him + Uribe,neutral
1230,price prediction??,neutral
1231,Made in Cotia,neutral
1232,Adama?,neutral
1233,first,neutral
1234,Headliners Sanson?,neutral
1235,Good CB with engineer chemistry style,positive
1236,good,positive
1237,Ochoa left de chat,neutral
1238,Good starter player,positive
1239,1st,neutral
1240,Him plus acheampong,neutral
1241,first,neutral
1242,hmm,neutral
1243,price prediction!?,neutral
1244,Estimated price?,neutral
1245,price predict?,neutral
1246,Deserves more pace,negative
1247,Not a card for me,negative
1248,over rated player,negative
1249,too over rated,negative
1250,Stupid upgrade,negative
1251,4 star weak foot deserved,negative
1252,They just massacred my boy,negative
